epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,8707.45,0.9987,0.81023,1.07752,0.79703,0.68458,0.74515,0.55224,0.98041,0.79264,1.11825,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,8984.16,0.99636,0.81039,1.079,0.74244,0.70251,0.74054,0.54726,0.98032,0.80576,1.10755,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,9260.01,0.99136,0.79963,1.06994,0.79353,0.68343,0.7517,0.55858,0.97617,0.7805,1.11338,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,9532.4,0.98117,0.78262,1.06668,0.77075,0.67689,0.73889,0.55161,0.9702,0.78628,1.10787,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,9795.23,0.9831,0.77879,1.06958,0.78436,0.71557,0.7638,0.57288,0.96318,0.76395,1.10381,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,10065.7,0.98323,0.7773,1.06937,0.8074,0.70217,0.75903,0.57338,0.96167,0.76459,1.10455,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,10351.1,0.96977,0.76344,1.06279,0.77204,0.70495,0.75309,0.56741,0.95831,0.77034,1.1052,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,10600.7,0.96762,0.75902,1.05802,0.80902,0.70252,0.76136,0.57258,0.95455,0.75909,1.09974,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,10844.6,0.97024,0.75061,1.06071,0.79728,0.70444,0.75152,0.56491,0.95903,0.75874,1.10105,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,11086.3,0.96323,0.74678,1.05847,0.78564,0.71574,0.75461,0.56811,0.95248,0.75447,1.09772,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
