cell_id,latitude,longitude,relative_occurrence_score,species_slug,scientific_name,selected_model
916:2827,1.65,102.75,0.6812967027615496,ocellaris_clownfish,Amphiprion ocellaris,random_forest
916:2828,1.65,102.85,0.6812967027615496,ocellaris_clownfish,Amphiprion ocellaris,random_forest
916:2829,1.65,102.95,0.6812967027615496,ocellaris_clownfish,Amphiprion ocellaris,random_forest
916:2830,1.65,103.05,0.679248445737905,ocellaris_clownfish,Amphiprion ocellaris,random_forest
916:2839,1.65,103.95,0.6764942331122458,ocellaris_clownfish,Amphiprion ocellaris,random_forest
916:2842,1.65,104.25,0.7733168179851968,ocellaris_clownfish,Amphiprion ocellaris,random_forest
916:2843,1.65,104.35,0.49586516558636945,ocellaris_clownfish,Amphiprion ocellaris,random_forest
916:2844,1.65,104.45,0.3235824354007126,ocellaris_clownfish,Amphiprion ocellaris,random_forest
916:2845,1.65,104.55,0.3111511299658157,ocellaris_clownfish,Amphiprion ocellaris,random_forest
916:2846,1.65,104.65,0.3111511299658157,ocellaris_clownfish,Amphiprion ocellaris,random_forest
916:2847,1.65,104.75,0.3105476386939952,ocellaris_clownfish,Amphiprion ocellaris,random_forest
916:2848,1.65,104.85,0.3105476386939952,ocellaris_clownfish,Amphiprion ocellaris,random_forest
916:2902,1.65,110.25,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
916:2903,1.65,110.35,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
916:2905,1.65,110.55,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
916:2906,1.65,110.65,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
916:2907,1.65,110.75,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
916:2908,1.65,110.85,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
916:2909,1.65,110.95,0.31111643650820286,ocellaris_clownfish,Amphiprion ocellaris,random_forest
916:2911,1.65,111.15,0.31111643650820286,ocellaris_clownfish,Amphiprion ocellaris,random_forest
917:2825,1.75,102.55,0.6805929240261641,ocellaris_clownfish,Amphiprion ocellaris,random_forest
917:2826,1.75,102.65,0.6805929240261641,ocellaris_clownfish,Amphiprion ocellaris,random_forest
917:2827,1.75,102.75,0.6812967027615496,ocellaris_clownfish,Amphiprion ocellaris,random_forest
917:2828,1.75,102.85,0.6812967027615496,ocellaris_clownfish,Amphiprion ocellaris,random_forest
