cell_id,latitude,longitude,relative_occurrence_score,species_slug,scientific_name,selected_model
917:2848,1.75,104.85,0.5247975106230864,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
917:2849,1.75,104.95,0.5303358031637442,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
917:2899,1.75,109.95,0.7742627666506005,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
917:2900,1.75,110.05,0.778122858235695,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
917:2901,1.75,110.15,0.781935532905058,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
917:2902,1.75,110.25,0.7857007350849143,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
917:2904,1.75,110.45,0.7930886217002763,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
917:2905,1.75,110.55,0.796711315238711,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
917:2906,1.75,110.65,0.8002865532859631,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
917:2907,1.75,110.75,0.803814396899082,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
917:2908,1.75,110.85,0.8072949286162662,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
917:2909,1.75,110.95,0.8107282518221884,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
917:2910,1.75,111.05,0.8141144901076495,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
918:2823,1.85,102.35,0.3679488535586418,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
918:2824,1.85,102.45,0.37313160640469323,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
918:2825,1.85,102.55,0.37834366242033607,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
918:2826,1.85,102.65,0.3835839733529703,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
918:2827,1.85,102.75,0.3888514655308327,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
918:2841,1.85,104.15,0.46479600326367165,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
918:2842,1.85,104.25,0.4703278002756882,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
918:2843,1.85,104.35,0.4758668965178401,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
918:2844,1.85,104.45,0.48141193649829284,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
918:2845,1.85,104.55,0.4869615588775941,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
918:2846,1.85,104.65,0.49251439780157324,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
918:2847,1.85,104.75,0.49806908424367546,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
918:2848,1.85,104.85,0.5036242473539494,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
918:2849,1.85,104.95,0.5091785158118508,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
918:2897,1.85,109.75,0.750882317955069,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
918:2898,1.85,109.85,0.7550157117305176,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
918:2899,1.85,109.95,0.7591025260512512,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
918:2900,1.85,110.05,0.7631425519907209,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
918:2901,1.85,110.15,0.7671356082134754,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
918:2902,1.85,110.25,0.7710815404951211,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
918:2903,1.85,110.35,0.7749802212203412,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
918:2904,1.85,110.45,0.778831548860566,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
918:2905,1.85,110.55,0.7826354474329134,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
918:2906,1.85,110.65,0.786391865941985,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
918:2907,1.85,110.75,0.7901007778060819,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
918:2908,1.85,110.85,0.7937621802693962,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
918:2909,1.85,110.95,0.7973760938016878,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
918:2910,1.85,111.05,0.8009425614869403,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
919:2822,1.95,102.25,0.3434355117222271,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
919:2823,1.95,102.35,0.34846334335449525,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
919:2824,1.95,102.45,0.35352514829772685,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
919:2825,1.95,102.55,0.35862000989638554,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
919:2841,1.95,104.15,0.4437827994664387,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
919:2842,1.95,104.25,0.4492744433554136,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
919:2843,1.95,104.35,0.4547784807341886,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
919:2844,1.95,104.45,0.46029359041126133,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
919:2845,1.95,104.55,0.46581844039778103,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
919:2846,1.95,104.65,0.47135168917945075,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
919:2847,1.95,104.75,0.4768919870081419,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
919:2848,1.95,104.85,0.4824379772106253,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
919:2849,1.95,104.95,0.48798829751172257,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
919:2850,1.95,105.05,0.49354158136915494,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
919:2896,1.95,109.65,0.7303360756238122,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
919:2897,1.95,109.75,0.7346899227002984,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
919:2898,1.95,109.85,0.7389985963146467,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
919:2899,1.95,109.95,0.7432617487659058,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
919:2900,1.95,110.05,0.7474790618967833,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
919:2901,1.95,110.15,0.751650246741962,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
919:2902,1.95,110.25,0.7557750431466876,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
919:2903,1.95,110.35,0.7598532193572409,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
919:2904,1.95,110.45,0.76388457158489,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
919:2905,1.95,110.55,0.7678689235449467,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
919:2906,1.95,110.65,0.7718061259725562,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
919:2907,1.95,110.75,0.7756960561168204,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
919:2908,1.95,110.85,0.7795386172148927,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
919:2909,1.95,110.95,0.7833337379476255,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
919:2910,1.95,111.05,0.7870813718783644,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
919:2911,1.95,111.15,0.7907814968764605,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
920:2821,2.05,102.15,0.3197291594607955,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
920:2822,2.05,102.25,0.32458150662179264,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
920:2823,2.05,102.35,0.32947182880088577,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
920:2824,2.05,102.45,0.3343993521826598,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
920:2825,2.05,102.55,0.33936327262992927,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
920:2841,2.05,104.15,0.4229688151600146,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
920:2842,2.05,104.25,0.42840127186338134,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
920:2843,2.05,104.35,0.4338510413825043,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
920:2844,2.05,104.45,0.43931685497361284,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
920:2845,2.05,104.55,0.44479742846870013,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
920:2846,2.05,104.65,0.4502914634494955,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
920:2847,2.05,104.75,0.45579764845041765,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
920:2848,2.05,104.85,0.46131466018822725,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
920:2849,2.05,104.95,0.4668411648159587,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
920:2850,2.05,105.05,0.47237581919865823,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
920:2896,2.05,109.65,0.7133180748751091,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
920:2897,2.05,109.75,0.7178405327135668,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
920:2898,2.05,109.85,0.7223194202305085,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
920:2899,2.05,109.95,0.7267542743603304,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
920:2900,2.05,110.05,0.7311446626221446,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
920:2901,2.05,110.15,0.7354901828956948,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
920:2902,2.05,110.25,0.7397904631616922,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
920:2903,2.05,110.35,0.7440451612080816,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
920:2904,2.05,110.45,0.7482539643037395,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
920:2905,2.05,110.55,0.7524165888411685,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
920:2906,2.05,110.65,0.7565327799497716,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
920:2907,2.05,110.75,0.7606023110812915,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
920:2908,2.05,110.85,0.7646249835690413,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
