cell_id,latitude,longitude,relative_occurrence_score,species_slug,scientific_name,selected_model
917:2908,1.75,110.85,0.007626971807170963,green_sea_turtle,Chelonia mydas,random_forest
917:2909,1.75,110.95,0.007626971807170963,green_sea_turtle,Chelonia mydas,random_forest
917:2910,1.75,111.05,0.007626971807170963,green_sea_turtle,Chelonia mydas,random_forest
918:2823,1.85,102.35,0.14220554669247787,green_sea_turtle,Chelonia mydas,random_forest
918:2824,1.85,102.45,0.14384615036303758,green_sea_turtle,Chelonia mydas,random_forest
918:2825,1.85,102.55,0.2187553450948859,green_sea_turtle,Chelonia mydas,random_forest
918:2826,1.85,102.65,0.33896879001540436,green_sea_turtle,Chelonia mydas,random_forest
918:2827,1.85,102.75,0.37060944124457856,green_sea_turtle,Chelonia mydas,random_forest
918:2841,1.85,104.15,0.36697421428467086,green_sea_turtle,Chelonia mydas,random_forest
918:2842,1.85,104.25,0.355432547069614,green_sea_turtle,Chelonia mydas,random_forest
918:2843,1.85,104.35,0.2273153241646403,green_sea_turtle,Chelonia mydas,random_forest
918:2844,1.85,104.45,0.19780213394541296,green_sea_turtle,Chelonia mydas,random_forest
918:2845,1.85,104.55,0.22337509883448897,green_sea_turtle,Chelonia mydas,random_forest
918:2846,1.85,104.65,0.22795610862190693,green_sea_turtle,Chelonia mydas,random_forest
918:2847,1.85,104.75,0.2265772288747856,green_sea_turtle,Chelonia mydas,random_forest
918:2848,1.85,104.85,0.22596054658800022,green_sea_turtle,Chelonia mydas,random_forest
918:2849,1.85,104.95,0.1988226333991771,green_sea_turtle,Chelonia mydas,random_forest
918:2897,1.85,109.75,0.008882039306282626,green_sea_turtle,Chelonia mydas,random_forest
918:2898,1.85,109.85,0.008882039306282626,green_sea_turtle,Chelonia mydas,random_forest
918:2899,1.85,109.95,0.008882039306282626,green_sea_turtle,Chelonia mydas,random_forest
918:2900,1.85,110.05,0.007395123179146477,green_sea_turtle,Chelonia mydas,random_forest
918:2901,1.85,110.15,0.007395123179146477,green_sea_turtle,Chelonia mydas,random_forest
918:2902,1.85,110.25,0.007395123179146477,green_sea_turtle,Chelonia mydas,random_forest
918:2903,1.85,110.35,0.007395123179146477,green_sea_turtle,Chelonia mydas,random_forest
918:2904,1.85,110.45,0.007395123179146477,green_sea_turtle,Chelonia mydas,random_forest
918:2905,1.85,110.55,0.007395123179146477,green_sea_turtle,Chelonia mydas,random_forest
918:2906,1.85,110.65,0.007395123179146477,green_sea_turtle,Chelonia mydas,random_forest
918:2907,1.85,110.75,0.007395123179146477,green_sea_turtle,Chelonia mydas,random_forest
918:2908,1.85,110.85,0.007395123179146477,green_sea_turtle,Chelonia mydas,random_forest
918:2909,1.85,110.95,0.007395123179146477,green_sea_turtle,Chelonia mydas,random_forest
918:2910,1.85,111.05,0.007395123179146477,green_sea_turtle,Chelonia mydas,random_forest
919:2822,1.95,102.25,0.13524245062601156,green_sea_turtle,Chelonia mydas,random_forest
919:2823,1.95,102.35,0.1399318391428776,green_sea_turtle,Chelonia mydas,random_forest
919:2824,1.95,102.45,0.14157244281343728,green_sea_turtle,Chelonia mydas,random_forest
919:2825,1.95,102.55,0.2164816375452856,green_sea_turtle,Chelonia mydas,random_forest
919:2841,1.95,104.15,0.36384994523754144,green_sea_turtle,Chelonia mydas,random_forest
919:2842,1.95,104.25,0.3523082780224846,green_sea_turtle,Chelonia mydas,random_forest
919:2843,1.95,104.35,0.22325616820866917,green_sea_turtle,Chelonia mydas,random_forest
919:2844,1.95,104.45,0.19374297798944184,green_sea_turtle,Chelonia mydas,random_forest
919:2845,1.95,104.55,0.2193159428785178,green_sea_turtle,Chelonia mydas,random_forest
919:2846,1.95,104.65,0.2238969526659358,green_sea_turtle,Chelonia mydas,random_forest
919:2847,1.95,104.75,0.22251807291881445,green_sea_turtle,Chelonia mydas,random_forest
919:2848,1.95,104.85,0.2219013906320291,green_sea_turtle,Chelonia mydas,random_forest
919:2849,1.95,104.95,0.19476347744320596,green_sea_turtle,Chelonia mydas,random_forest
919:2850,1.95,105.05,0.20967897120737505,green_sea_turtle,Chelonia mydas,random_forest
919:2896,1.95,109.65,0.004822883350311493,green_sea_turtle,Chelonia mydas,random_forest
919:2897,1.95,109.75,0.004822883350311493,green_sea_turtle,Chelonia mydas,random_forest
919:2898,1.95,109.85,0.004822883350311493,green_sea_turtle,Chelonia mydas,random_forest
919:2899,1.95,109.95,0.004822883350311493,green_sea_turtle,Chelonia mydas,random_forest
919:2900,1.95,110.05,0.003335967223175348,green_sea_turtle,Chelonia mydas,random_forest
919:2901,1.95,110.15,0.003335967223175348,green_sea_turtle,Chelonia mydas,random_forest
919:2902,1.95,110.25,0.003335967223175348,green_sea_turtle,Chelonia mydas,random_forest
919:2903,1.95,110.35,0.003335967223175348,green_sea_turtle,Chelonia mydas,random_forest
919:2904,1.95,110.45,0.003335967223175348,green_sea_turtle,Chelonia mydas,random_forest
919:2905,1.95,110.55,0.003335967223175348,green_sea_turtle,Chelonia mydas,random_forest
919:2906,1.95,110.65,0.003335967223175348,green_sea_turtle,Chelonia mydas,random_forest
919:2907,1.95,110.75,0.003335967223175348,green_sea_turtle,Chelonia mydas,random_forest
919:2908,1.95,110.85,0.003335967223175348,green_sea_turtle,Chelonia mydas,random_forest
919:2909,1.95,110.95,0.003335967223175348,green_sea_turtle,Chelonia mydas,random_forest
919:2910,1.95,111.05,0.003335967223175348,green_sea_turtle,Chelonia mydas,random_forest
919:2911,1.95,111.15,0.003335967223175348,green_sea_turtle,Chelonia mydas,random_forest
920:2821,2.05,102.15,0.13124479579159568,green_sea_turtle,Chelonia mydas,random_forest
920:2822,2.05,102.25,0.132994664420077,green_sea_turtle,Chelonia mydas,random_forest
920:2823,2.05,102.35,0.13768405293694302,green_sea_turtle,Chelonia mydas,random_forest
920:2824,2.05,102.45,0.1393246566075027,green_sea_turtle,Chelonia mydas,random_forest
920:2825,2.05,102.55,0.21403620916884508,green_sea_turtle,Chelonia mydas,random_forest
920:2841,2.05,104.15,0.3614045168611009,green_sea_turtle,Chelonia mydas,random_forest
920:2842,2.05,104.25,0.34986284964604414,green_sea_turtle,Chelonia mydas,random_forest
920:2843,2.05,104.35,0.22081073983222868,green_sea_turtle,Chelonia mydas,random_forest
920:2844,2.05,104.45,0.19129754961300133,green_sea_turtle,Chelonia mydas,random_forest
920:2845,2.05,104.55,0.21687051450207734,green_sea_turtle,Chelonia mydas,random_forest
920:2846,2.05,104.65,0.22145152428949533,green_sea_turtle,Chelonia mydas,random_forest
920:2847,2.05,104.75,0.220072644542374,green_sea_turtle,Chelonia mydas,random_forest
920:2848,2.05,104.85,0.21945596225558858,green_sea_turtle,Chelonia mydas,random_forest
920:2849,2.05,104.95,0.1923180490667655,green_sea_turtle,Chelonia mydas,random_forest
920:2850,2.05,105.05,0.20723354283093454,green_sea_turtle,Chelonia mydas,random_forest
920:2896,2.05,109.65,0.004822883350311493,green_sea_turtle,Chelonia mydas,random_forest
920:2897,2.05,109.75,0.004822883350311493,green_sea_turtle,Chelonia mydas,random_forest
920:2898,2.05,109.85,0.004822883350311493,green_sea_turtle,Chelonia mydas,random_forest
920:2899,2.05,109.95,0.004822883350311493,green_sea_turtle,Chelonia mydas,random_forest
920:2900,2.05,110.05,0.003335967223175348,green_sea_turtle,Chelonia mydas,random_forest
920:2901,2.05,110.15,0.003335967223175348,green_sea_turtle,Chelonia mydas,random_forest
920:2902,2.05,110.25,0.003335967223175348,green_sea_turtle,Chelonia mydas,random_forest
920:2903,2.05,110.35,0.003335967223175348,green_sea_turtle,Chelonia mydas,random_forest
920:2904,2.05,110.45,0.003335967223175348,green_sea_turtle,Chelonia mydas,random_forest
920:2905,2.05,110.55,0.003335967223175348,green_sea_turtle,Chelonia mydas,random_forest
920:2906,2.05,110.65,0.003335967223175348,green_sea_turtle,Chelonia mydas,random_forest
920:2907,2.05,110.75,0.003335967223175348,green_sea_turtle,Chelonia mydas,random_forest
920:2908,2.05,110.85,0.003335967223175348,green_sea_turtle,Chelonia mydas,random_forest
920:2909,2.05,110.95,0.003335967223175348,green_sea_turtle,Chelonia mydas,random_forest
920:2910,2.05,111.05,0.003335967223175348,green_sea_turtle,Chelonia mydas,random_forest
920:2911,2.05,111.15,0.003335967223175348,green_sea_turtle,Chelonia mydas,random_forest
921:2819,2.15,101.95,0.16592009966639945,green_sea_turtle,Chelonia mydas,random_forest
921:2820,2.15,102.05,0.1678186981824753,green_sea_turtle,Chelonia mydas,random_forest
921:2821,2.15,102.15,0.1678186981824753,green_sea_turtle,Chelonia mydas,random_forest
921:2822,2.15,102.25,0.17217858470004427,green_sea_turtle,Chelonia mydas,random_forest
921:2840,2.15,104.05,0.5411275314942264,green_sea_turtle,Chelonia mydas,random_forest
921:2841,2.15,104.15,0.4091023252656528,green_sea_turtle,Chelonia mydas,random_forest
921:2842,2.15,104.25,0.3751171355220347,green_sea_turtle,Chelonia mydas,random_forest
921:2843,2.15,104.35,0.24172023405135007,green_sea_turtle,Chelonia mydas,random_forest
